Feature Group,Split,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC,Training Time (s)
URLOnly,DomainDisjoint,Linear SVM,0.9979024421566319,1.0,0.9950500050510153,0.9975188617145172,0.9991989939303656,0.9993260572479602,6.269657611846924
URLOnly,DomainDisjoint,Logistic Regression,0.9972603326127437,0.9997459349593496,0.9937872512374988,0.9967576878261311,0.9990797717347093,0.9992211105377271,1.4673442840576172
URLOnly,DomainDisjoint,Decision Tree,0.9965112048115409,0.9989834815756036,0.9927770481866856,0.995870595090315,0.9973097438757607,0.9973022597416553,2.2131564617156982
URLOnly,DomainDisjoint,Random Forest,0.9946062798313392,0.994585020242915,0.9926760278816043,0.9936296071591082,0.9987005684952095,0.9987128607818343,89.67819404602051
WebEnhanced,DomainDisjoint,Linear SVM,0.9999143853941482,1.0,0.9997979593898374,0.9998989694887856,0.9999839387358058,0.9999847480981693,2.999269485473633
WebEnhanced,DomainDisjoint,Random Forest,0.9997003488795189,1.0,0.9992928578644308,0.9996463038754989,0.9999992120393691,0.9999989474608332,92.43293881416321
WebEnhanced,DomainDisjoint,Logistic Regression,0.9996361379251301,0.9998483853034821,0.9992928578644308,0.9995705443981306,0.9999741380064342,0.9999783444663402,2.1970913410186768
WebEnhanced,DomainDisjoint,Decision Tree,0.998929817426853,0.998989286436224,0.9984846954237802,0.9987369271964837,0.9988382392881621,0.9986624240920979,8.843716144561768
WebEnhanced,RandomSplit,Linear SVM,0.9998091562586144,0.9998513821460419,0.9997028084600525,0.9997770897832817,0.9999995555533762,0.9999994115317753,3.4838600158691406
WebEnhanced,RandomSplit,Random Forest,0.9996395173773829,0.9998513232233125,0.9993065530734558,0.9995788639235019,0.9999986427848967,0.9999982265997476,15.577565908432007
WebEnhanced,RandomSplit,Logistic Regression,0.9994274687758434,0.9997521316676582,0.9989102976868591,0.9993310373875771,0.9999930982214366,0.9999915279357157,2.213252305984497
WebEnhanced,RandomSplit,Decision Tree,0.9985792743696855,0.9986617763679619,0.9980187230670167,0.9983401461662331,0.9988179822663227,0.998564416717956,6.970196962356567
