URL,Actual,Predicted,Phishing_Probability
https://www.saffronart.com,0,0,0.00022701187361737576
https://www.nerdscandy.com,0,0,0.0005954237533660027
https://www.religionenlibertad.com,0,0,0.0061035699983581935
https://www.motley.ie,0,0,0.00021668595582859606
https://www.funzine.hu,0,0,0.000915464524042032
https://www.cryptocompare.com,0,0,0.0021321352781690727
https://www.musicvideoproduction.guru,0,0,0.010981247999786102
https://service-mitld.firebaseapp.com/,1,1,0.9999999233257767
https://hidok4f8zl.firebaseapp.com/,1,1,0.9999999540103697
https://www.sweatdrop.com,0,0,0.0004523535300527334
http://www.komaru.today,1,1,0.9999993616880412
https://metafb-tvz6efk.web.app/,1,1,0.9999981062501799
https://www.lanereport.com,0,0,0.00024268772644896026
https://www.torahmates.org,0,0,0.00045132931396205323
https://www.larepublica.co,0,0,0.0006060880306816677
https://www.radware.com,0,0,3.508016817362002e-05
http://www.f0535398.xsph.ru,1,1,0.999998807497649
https://www.gitguardian.com,0,0,0.002168844841810106
https://www.dancetheyard.org,0,0,0.003178875413389421
https://www.naturalearthdata.com,0,0,0.002697921034011537
https://www.lukul.sk,0,0,9.291021535188832e-05
https://a04854e8-0cca-4b74-80e6-aacb14a4a5f7.id.repl.co,1,1,0.9999942115222121
https://www.tileandstonejournal.com,0,0,0.0027524421173585507
http://www.jerode.ga,1,1,0.9999998616496595
https://www.heramission.space,0,0,0.0030393072685370864
https://www.gunsmokenet.com,0,0,0.0017321726991370824
https://www.raw-health-coach.com,0,0,0.0015869913077981221
https://www.mro.nmt.edu,0,0,0.00013261629945131678
https://www.doc88.com,0,0,0.0034531004699931557
https://www.hee.nhs.uk,0,0,0.00043484926996001735
https://www.secondgeargames.com,0,0,0.000480643957459127
http://www.westleyr.cf,1,1,0.9999989485389715
https://www.irgendwie-nerdig.de,0,0,0.0032997434497041562
https://www.leonardodavinci.net,0,0,0.0050268526725210285
https://www.apptha.com,0,0,0.0005591433706824554
https://www.nataschavonhirschhausen.com,0,0,0.0045333928077700425
http://otwtmbrotq.duckdns.org,1,1,0.9999999999034266
https://www.wp-amazon-plugin.com,0,1,0.5153839789425687
https://www.reflectionofsanity.com,0,0,0.015655418280019918
https://www.7marvels.co.uk,0,0,0.0068639684217304585
https://perte-dimension.web.app/,1,1,0.9999749221244354
https://www.libertarian.ca,0,0,0.001917881152086212
https://www.rakennuslehti.fi,0,0,0.005495816939853826
https://www.ihub-tansa.jaxa.jp,0,0,0.0031876214419209645
https://www.extensionmethod.net,0,0,0.00929175462709396
https://www.narcissisticabuserehab.com,0,0,0.019713708629322327
https://www.mercatus.com,0,0,0.00040964261088808517
https://www.zadar.hr,0,0,0.0010671232008442018
https://www.bischberg.de,0,0,0.00013368719329444483
http://www.stmfl.com,1,1,0.9999997388326282
http://www.walemi.com,1,1,0.9999964911393837
http://www.anilreddydev.github.io,1,1,0.9999990825998736
https://www.dadivosa.com.br,0,0,0.0027864121613244124
https://am2fcu.firebaseapp.com/,1,1,0.9999999528772671
http://www.web2.hashgains.com,1,1,0.9999989398542112
https://www.mayfield.com,0,0,0.0002614967952280208
https://www.christianheadlines.com,0,0,0.0015726189931149059
https://www.concretonline.com,0,0,0.0030190894546854325
https://www.childbrides.org,0,0,0.00011910178095575059
https://www.pureecoinc.com,0,0,0.0006747342970035036
https://www.mamiworks.com,0,0,9.032126065050703e-05
https://www.stir.ac.uk,0,0,5.35058515539417e-05
https://www.discoverbristol.co.uk,0,0,0.000869363928538597
https://www.mandsenergy.com,0,0,0.00020182520089063232
http://www.play.stream.vidzi.tv,1,1,0.9999860486890283
https://www.poppinsonmackinac.com,0,0,0.007893726413712254
https://www.mealsonwheels4u.com,0,0,0.006890641023430247
http://burghdogs.com/landmarkcuauth,1,1,0.9999999998923955
https://www.kurzurlaub.de,0,0,0.010784585933521546
https://www.grpva.com,0,0,5.3233599372146685e-05
